id,hc,hp,time,user,note
0,Sydney Children Hospital,toby@gmail.com,2018-09-27 06:00:00,jack@gmail.com
1,UTS Health Service,toby@gmail.com,2018-09-29 09:30:00,jack@gmail.com
2,Sydney Children Hospital,toby@gmail.com,2018-09-28 06:30:00,jack@gmail.com
3,Prince of Wales Hospital,samuel@gmail.com,2018-09-28 07:00:00,jack@gmail.com
4,Prince of Wales Hospital,thomas@gmail.com,2018-09-27 09:00:00,jack@gmail.com
5,USYD Health Service,gary@gmail.com,2018-10-03 06:00:00,jack@gmail.com
6,Prince of Wales Hospital,anna@gmail.com,2018-09-29 09:30:00,tom@gmail.com
7,USYD Health Service,gary@gmail.com,2018-09-29 10:00:00,jack@gmail.com

8,Sydney Children Hospital,toby@gmail.com,2018-10-03 01:30:00,jack@gmail.com
9,Sydney Children Hospital,toby@gmail.com,2018-10-03 02:00:00,tom@gmail.com
10,Sydney Children Hospital,gary@gmail.com,2018-10-12 15:00:00,jack@gmail.com
11,USYD Health Service,gary@gmail.com,2018-10-12 14:00:00,jack@gmail.com
12,Sydney Children Hospital,toby@gmail.com,2018-10-12 15:00:00,jack@gmail.com
13,Sydney Children Hospital,gary@gmail.com,2018-10-12 14:30:00,jack@gmail.com
14,Sydney Children Hospital,toby@gmail.com,2018-10-13 16:30:00,jack@gmail.com
15,Sydney Children Hospital,gary@gmail.com,2018-10-13 16:30:00,jack@gmail.com
16,Prince of Wales Hospital,thomas@gmail.com,2018-10-14 15:00:00,jack@gmail.com
17,Prince of Wales Hospital,thomas@gmail.com,2018-10-14 15:30:00,jack@gmail.com
18,Prince of Wales Hospital,thomas@gmail.com,2018-10-14 16:00:00,jack@gmail.com
19,Sydney Children Hospital,toby@gmail.com,2019-05-20 09:30:00,jack@gmail.com
20,Sydney Children Hospital,toby@gmail.com,2019-04-18 00:30:00,jack@gmail.com,df
